Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
PP5_4,POGO_C5_CH1_IP,PogoPin_MillMax_0906,10.5,17.43,0,Top
PP5_5,POGO_C5_CH1_IN,PogoPin_MillMax_0906,10.5,18.7,0,Top
PP5_6,POGO_C5_CH1_VP,PogoPin_MillMax_0906,10.5,19.97,0,Top
PP5_7,POGO_C5_CH1_VN,PogoPin_MillMax_0906,10.5,21.240000000000002,0,Top
PP5_8,POGO_C5_CH2_IP,PogoPin_MillMax_0906,10.5,22.51,0,Top
PP5_9,POGO_C5_CH2_IN,PogoPin_MillMax_0906,10.5,23.78,0,Top
PP5_10,POGO_C5_CH2_VP,PogoPin_MillMax_0906,10.5,25.05,0,Top
PP5_11,POGO_C5_CH2_VN,PogoPin_MillMax_0906,10.5,26.32,0,Top
PP5_12,POGO_C5_CH3_IP,PogoPin_MillMax_0906,10.5,27.59,0,Top
PP5_13,POGO_C5_CH3_IN,PogoPin_MillMax_0906,10.5,28.86,0,Top
PP5_14,POGO_C5_CH3_VP,PogoPin_MillMax_0906,10.5,30.13,0,Top
PP5_15,POGO_C5_CH3_VN,PogoPin_MillMax_0906,10.5,31.4,0,Top
PP5_16,POGO_C5_RTD_FP,PogoPin_MillMax_0906,10.5,32.67,0,Top
PP5_17,POGO_C5_RTD_FN,PogoPin_MillMax_0906,10.5,33.94,0,Top
PP5_18,POGO_C5_RTD_SP,PogoPin_MillMax_0906,10.5,35.21,0,Top
PP5_19,POGO_C5_RTD_SN,PogoPin_MillMax_0906,10.5,36.480000000000004,0,Top
